"","plot_i","sp_i","level_used","sample_size"
"842","SPD-01","Miconia lamprophylla","d","85"
"843","TAM-06","Vismia cayennensis","d","10"
"844","TAM-06","Jacaranda copaia","d","12"
"845","TAM-05","Inga indet","b","8"
"846","SPD-02","Eschweilera baguensis","d","8"
"847","PAN-02","Aspidosperma indet","f","15"
"848","TAM-06","Acalypha mapirensis","f","129"
"849","PAN-03","Trichilia havanensis","f","9"
"850","TAM-06","Geonoma brongniartii","h","9"
"851","SPD-01","Weinmannia lechleriana","d","117"
"852","SPD-01","Miconia coelestis","d","85"
"853","TAM-06","Siparuna decipiens","h","2"
"854","TAM-06","Prunus amplifolia","d","44"
"855","TAM-05","Socratea exorrhiza","i","26"
"856","TAM-06","Plinia indet","i","63"
"857","SPD-01","Calatola costaricensis","h","1"
"858","TAM-05","Inga acrocephala","d","18"
"859","TAM-06","Dialium guianense","f","68"
"860","TAM-06","Xylosma intermedia","h","4"
"861","PAN-03","Ferdinandusa indet","e","27"
"862","TAM-06","Ampelocera indet","i","19"
"863","TAM-05","Mouriri apiranga","f","123"
"864","TAM-06","Cordia lomatoloba","h","16"
"865","TAM-06","Ceiba insignis","f","23"
"866","TAM-06","Naucleopsis ternstroemiiflora","e","4"
"867","TAM-06","Trema integerrima","e","6"
"868","TAM-06","Inga tomentosa","d","18"
"869","SPD-02","Ficus apollinaris","c","6"
"870","SPD-02","Neea divaricata","i","1"
"871","TAM-06","Allophylus pilosus","h","2"
"872","ESP-01","Myrsine indet","c","18"
"873","PAN-03","Eugenia biflora","h","30"
"874","TAM-05","Inga leiocalycina","d","18"
"875","TAM-06","Quararibea indet","f","23"
"876","TAM-06","Astronium lecointei","f","31"
"877","PAN-03","Chrysophyllum indet","b","18"
"878","TAM-06","Ormosia panamensis","f","68"
"879","TAM-06","Inga oerstediana","d","18"
"880","TAM-05","Tachigali vasquezii","c","6"
"881","TAM-06","Guarea kunthiana","b","9"
"882","TAM-05","Nectandra cuspidata","d","9"
"883","TAM-05","Trattinnickia peruviana","f","12"
"884","TAM-05","Brosimum rubescens","c","6"
"885","TAM-06","Trichilia poeppigii","f","9"
"886","TAM-05","Heisteria spruceana","i","5"
"887","TAM-06","Chimarrhis hookeri","f","74"
"888","TAM-05","Rollinia pittieri","f","35"
"889","TAM-06","Astrocaryum chonta","h","1"
"890","PAN-03","Aspidosperma excelsum","f","15"
"891","SPD-01","Cissus trianae","h","2"
"892","TAM-06","Gloeospermum sphaerocarpum","f","7"
"893","TAM-06","Pleurothyrium williamsii","f","147"
"894","TAM-05","Leonia racemosa","c","7"
"895","TAM-06","Cordia indet","h","16"
"896","PAN-03","Talisia indet","i","36"
"897","SPD-01","Magnolia amazonica","h","5"
"898","TAM-06","Oxandra riedeliana","f","35"
"899","SPD-01","Miconia dolichorrhyncha","d","85"
"900","PAN-03","Pouteria torta","b","32"
"901","SPD-02","Lissocarpa indet","b","21"
"902","TAM-06","Brosimum lactescens","b","6"
"903","SPD-02","Unonopsis guatterioides","e","18"
"904","TAM-05","Peltogyne floribunda","e","21"
"905","TAM-05","Aspidosperma desmanthum","f","15"
"906","PAN-02","Qualea acuminata","d","9"
"907","SPD-02","Dussia tessmannii","e","14"
"908","TAM-05","Eschweilera juruensis","c","8"
"909","PAN-02","Pourouma bicolor","a","14"
"910","PAN-02","Pourouma minor","a","3"
"911","SPD-02","Ocotea longifolia","d","84"
"912","PAN-02","Ocotea javitensis","c","26"
"913","PAN-03","Sloanea indet","c","38"
"914","TAM-05","Virola multinervia","d","15"
"915","TAM-06","Nectandra cissiflora","d","9"
"916","PAN-02","Ocotea bofo","a","9"
"917","TAM-05","Nectandra pulverulenta","d","9"
"918","PAN-02","Sloanea laxiflora","d","38"
"919","PAN-02","Humiriastrum colombianum",NA,"0"
"920","PAN-03","Ocotea javitensis","c","9"
"921","SPD-02","Sapium indet","c","10"
"922","PAN-02","Xylopia calophylla","f","35"
"923","TAM-05","Glycydendron amazonicum","f","129"
"924","PAN-02","Chrysophyllum argenteum","d","18"
"925","TAM-06","Cecropia sciadophylla","d","7"
"926","PAN-02","Qualea indet","d","9"
"927","PAN-03","Inga ruiziana","d","18"
"928","TRU-04","Ruagea subviridiflora","f","9"
"929","PAN-02","Inga thibaudiana","a","10"
"930","PAN-03","Schefflera sprucei","f","31"
"931","TAM-06","Inga acreana","d","18"
"932","PAN-02","Meliosma loretoyacuensis","d","35"
"933","SPD-01","Prunus integrifolia","b","23"
"934","TRU-04","Cyathea divergens","c","15"
"935","PAN-03","Annona indet","f","35"
"936","TAM-05","Tetragastris altissima","f","12"
"937","PAN-02","Pouteria reticulata","d","32"
"938","TAM-06","Gallesia integrifolia",NA,"0"
"939","ACJ-01","Myrsine dependens","d","76"
"940","PAN-02","Herrania nitida","f","23"
"941","PAN-03","Meliosma indet","b","5"
"942","PAN-02","Pouteria coriacea","d","32"
"943","TAM-05","Cordia ucayaliensis","h","16"
"944","PAN-03","Inga gracilifolia","d","18"
"945","TAM-05","Nectandra longifolia","d","9"
"946","PAN-02","Andira inermis","e","10"
"947","PAN-02","Bathysa australis","f","74"
"948","TAM-06","Diplotropis indet","f","68"
"949","TAM-06","Rollinia pittieri","f","35"
"950","TAM-06","Coccoloba densifrons","h","6"
"951","SPD-02","Prunus indet","b","6"
"952","PAN-02","Hirtella triandra","f","34"
"953","SPD-01","Tovomita indet","e","24"
"954","SPD-02","Byrsonima indet","h","1"
"955","PAN-02","Ocotea obovata","c","26"
"956","PAN-02","Doliocarpus dentatus","i","4"
"957","TAM-05","Inga coriacea","d","18"
"958","TAM-05","Pouteria caimito","c","8"
"959","SPD-01","Matayba guianensis","h","1"
"960","PAN-02","Piptadenia cuzcoensis","e","10"
"961","PAN-02","Cecropia sciadophylla","d","7"
"962","ESP-01","Hedyosmum scabrum","c","18"
"963","SPD-01","Prunus detrita","c","6"
"964","SPD-02","Sloanea fragrans","d","38"
"965","TAM-05","Pithecellobium corymbosum","e","21"
"966","TAM-06","Inga coruscans","d","18"
"967","TAM-05","Oxandra xylopioides","f","35"
"968","PAN-02","Casearia arborea","h","24"
"969","TAM-05","Crepidospermum indet","f","12"
"970","TAM-06","Swartzia leptopetala","f","68"
"971","SPD-01","Licaria indet","e","12"
"972","SPD-01","Dioicodendron dioicum","e","14"
"973","TAM-05","Jacaranda obtusifolia","d","12"
"974","PAN-03","Miconia punctata","d","85"
"975","WAY-01","Ageratina indet","e","2"
"976","SPD-02","Jacaranda glabra","b","12"
"977","PAN-02","Pseudolmedia laevigata","b","16"
"978","TAM-06","Pouteria guianensis","c","6"
"979","PAN-03","Hebepetalum humiriifolium","b","16"
"980","ESP-01","Meliosma glabrata","c","30"
"981","TAM-06","Tontelea attenuata","i","17"
"982","PAN-02","Piptadenia boliviana","e","10"
"983","PAN-03","Clusia indet","b","28"
"984","WAY-01","Meliosma frondosa","b","30"
"985","SPD-01","Miconia galactantha","d","85"
"986","PAN-02","Heisteria duckei","i","5"
"987","TAM-06","Amaioua corymbosa","f","74"
"988","TAM-05","Sloanea indet","d","38"
"989","PAN-02","Pouteria torta","b","32"
"990","TAM-05","Scheelea butyracea","i","26"
"991","PAN-02","Ferdinandusa chlorantha","f","74"
"992","PAN-03","Persea indet","b","21"
"993","TRU-04","Clethra indet","d","31"
"994","TAM-06","Anthodiscus klugii","d","11"
"995","TAM-05","Neea indet","i","1"
"996","SPD-02","Meliosma boliviensis","d","35"
"997","TAM-06","Quiina florida","f","17"
"998","SPD-02","Endlicheria krukovii","c","18"
"999","PAN-02","Sloanea laurifolia","d","38"
"1000","TAM-06","Aniba panurensis","f","147"
"1001","PAN-02","Meliosma herbertii","d","35"
"1002","PAN-02","Pouteria juruana","d","32"
"1003","SPD-02","Myrcia indet","h","2"
"1004","TAM-05","Pleurothyrium vasquezii","e","9"
"1005","PAN-02","Bauhinia indet","e","10"
"1006","TAM-05","Dilodendron elegans","h","1"
"1007","TAM-06","Hymenaea oblongifolia","f","68"
"1008","PAN-02","Hieronyma indet","d","12"
"1009","PAN-03","Alibertia indet","e","27"
"1010","TAM-05","Cordia indet","h","16"
"1011","PAN-02","Micropholis guyanensis","b","13"
"1012","PAN-02","Sarcaulus indet","f","63"
"1013","TAM-06","Swartzia indet","f","68"
"1014","TRU-04","Clusia trochiformis","b","17"
"1015","PAN-02","Hirtella indet","f","34"
"1016","PAN-02","Inga alba","c","10"
"1017","PAN-03","Trichilia indet","f","9"
"1018","TAM-05","Licania octandra","c","16"
"1019","TAM-05","Coussapoa trinervia","d","34"
"1020","PAN-02","Miconia modica","d","85"
"1021","SPD-02","Nectandra cissiflora","c","9"
"1022","PAN-02","Couepia ulei","f","34"
"1023","TAM-05","Aniba taubertiana","e","9"
"1024","TAM-06","Dipteryx odorata","f","68"
"1025","TAM-06","Ficus maxima","b","6"
"1026","TAM-06","Triplaris americana","i","51"
"1027","TAM-05","Cupania scrobiculata","h","8"
"1028","PAN-03","Eugenia feijoi","h","30"
"1029","PAN-03","Heisteria duckei","i","5"
"1030","PAN-02","Inga heterophylla","c","10"
"1031","TAM-05","Astronium lecointei","f","31"
"1032","TAM-05","Swartzia macrostachya","e","21"
"1033","PAN-02","Parinari indet","d","18"
"1034","SPD-02","Parinari parilis","b","18"
"1035","PAN-02","Virola elongata","d","15"
"1036","TAM-06","Genipa americana","f","74"
"1037","TAM-05","Neea macrophylla","i","1"
"1038","TAM-05","Miconia impetiolaris","d","85"
"1039","PAN-03","Siphoneugena indet","i","63"
"1040","PAN-02","Lonchocarpus seorsus","e","10"
"1041","PAN-03","Ferdinandusa guainiae","e","27"
"1042","PAN-03","Dacryodes peruviana","f","12"
"1043","SPD-02","Heliocarpus americanus","a","11"
"1044","WAY-01","Meliosma indet","b","5"
"1045","SPD-01","Vismia tomentosa","d","10"
"1046","PAN-02","Ecclinusa lanceolata","f","63"
"1047","ESP-01","Hedyosmum peruvianum","c","18"
"1048","SPD-02","Psychotria indet","e","12"
"1049","PAN-02","Ocotea insularis","a","17"
"1050","WAY-01","Dicksonia sellowiana","h","2"
"1051","ESP-01","Persea mutisii","d","36"
"1052","SPD-01","Beilschmiedia tovarensis","e","12"
"1053","TAM-06","Garcinia madruno","f","172"
"1054","ESP-01","Dicksonia sellowiana","h","2"
"1055","PAN-02","Helicostylis elegans","e","18"
"1056","PAN-02","Protium sagotianum","d","12"
"1057","TAM-06","Laetia corymbulosa","i","48"
"1058","TAM-06","Cinnamomum triplinerve","f","147"
"1059","PAN-02","Inga brachyrhachis","c","10"
"1060","PAN-03","Pourouma guianensis","b","6"
"1061","PAN-02","Ecclinusa ramiflora","f","63"
"1062","PAN-02","Pouteria bangii","d","32"
"1063","PAN-02","Inga gracilifolia","c","10"
"1064","TAM-05","Hymenaea parvifolia","e","21"
"1065","TAM-06","Schizolobium parahyba","f","68"
"1066","SPD-02","Coussarea paniculata","e","12"
"1067","PAN-02","Pouteria indet","d","32"
"1068","SPD-02","Morus insignis","e","21"
"1069","PAN-02","Dussia tessmannii","e","10"
"1070","PAN-03","Beilschmiedia tovarensis","e","9"
"1071","SPD-02","Pleurothyrium cuneifolium","e","27"
"1072","WAY-01","Podocarpus oleifolius","f","3"
"1073","ACJ-01","Prunus huantensis","d","44"
"1074","SPD-02","Ficus trigona","c","6"
"1075","PAN-02","Licania micrantha","d","16"
"1076","PAN-03","Protium opacum","d","12"
"1077","TAM-06","Brosimum utile","c","4"
"1078","PAN-03","Myrcia fallax","h","2"
"1079","TRU-04","Symplocos indet","d","76"
"1080","TAM-06","Triplaris indet","i","51"
"1081","TAM-05","Zygia indet","e","21"
"1082","WAY-01","Monnina connectisepala","i","2"
"1083","WAY-01","Cyathea pallescens","d","24"
"1084","PAN-02","Inga auristellae","c","10"
"1085","TAM-06","Beilschmiedia indet","f","147"
"1086","WAY-01","Cyathea indet","b","9"
"1087","PAN-02","Miconia coelestis","d","85"
"1088","PAN-03","Inga cordatoalata","d","18"
"1089","SPD-02","Cupania rubiginosa","h","8"
"1090","TAM-06","Trichilia indet","f","9"
"1091","WAY-01","Nectandra indet","d","9"
"1092","SPD-02","Ruagea glabra","e","9"
"1093","PAN-02","Dendrobangia boliviana",NA,"0"
"1094","SPD-02","Perrottetia sessiliflora","a","18"
"1095","SPD-02","Inga edulis","d","18"
"1096","TAM-06","Prunus indet","b","6"
"1097","PAN-03","Virola elongata","d","15"
"1098","PAN-02","Myrcia splendens","h","2"
"1099","PAN-02","Persea indet","b","21"
"1100","PAN-03","Maytenus indet","h","5"
"1101","PAN-02","Helicostylis tomentosa","e","18"
"1102","PAN-03","Guapira noxia","i","1"
"1103","SPD-02","Inga pezizifera","d","18"
"1104","PAN-02","Cecropia strigosa","d","7"
"1105","PAN-02","Cecropia distachya","d","7"
"1106","SPD-02","Coussarea ecuadorensis","e","12"
"1107","SPD-02","Styloceras brokawii","i","1"
"1108","TRU-04","Gaiadendron punctatum","h","1"
"1109","SPD-02","Garcinia madruno","f","172"
"1110","TAM-05","Casearia javitensis","h","24"
"1111","WAY-01","Schefflera indet","f","31"
"1112","PAN-02","Iryanthera juruensis","f","15"
"1113","ESP-01","Clethra cuneata","b","31"
"1114","PAN-02","Cordia mexiana","h","16"
"1115","PAN-02","Pouteria sagotiana","d","32"
"1116","SPD-02","Miconia peruviana","d","85"
"1117","SPD-02","Urera baccifera","e","40"
"1118","WAY-01","Symplocos psiloclada","d","76"
"1119","SPD-01","Myrcia mollis","h","2"
"1120","PAN-02","Pseudolmedia laevis","b","2"
"1121","PAN-03","Pourouma cuspidata","c","12"
"1122","PAN-02","Brosimum rubescens","d","10"
"1123","TRU-04","Dicksonia sellowiana","h","2"
"1124","SPD-02","Guatteria indet","c","18"
"1125","ESP-01","Vallea stipularis","f","38"
"1126","PAN-02","Cordia ulei","h","16"
"1127","PAN-02","Iriartea deltoidea","i","26"
"1128","PAN-03","Schefflera morototoni","f","31"
"1129","PAN-03","Lacmellea peruviana","f","15"
"1130","PAN-03","Tetragastris panamensis","f","12"
"1131","PAN-03","Mollinedia lanceolata","b","18"
"1132","PAN-03","Aniba panurensis","e","9"
"1133","SPD-02","Ampelocera edentula","i","19"
"1134","PAN-02","Guarea indet","d","9"
"1135","SPD-02","Hasseltia floribunda","i","48"
"1136","WAY-01","Hesperomeles indet","c","9"
"1137","PAN-02","Myrcia minutiflora","h","2"
"1138","PAN-03","Palicourea guianensis","e","27"
"1139","TAM-06","Aspidosperma tambopatense","f","15"
"1140","PAN-02","Sloanea robusta","d","38"
"1141","PAN-02","Pourouma cecropiifolia","c","26"
"1142","PAN-02","Ormosia indet","e","10"
"1143","PAN-02","Inga capitata","c","10"
"1144","PAN-02","Micropholis egensis","d","13"
"1145","PAN-02","Cybianthus timanae","f","76"
"1146","SPD-02","Miconia astroplocama","d","85"
"1147","TRU-04","Plinia indet","i","63"
"1148","PAN-02","Sloanea sinemariensis","b","6"
"1149","SPD-02","Guettarda crispiflora","e","12"
"1150","PAN-02","Quararibea wittii","f","23"
"1151","SPD-02","Nectandra lineata","c","9"
"1152","SPD-02","Inga indet","b","8"
"1153","PAN-02","Warszewiczia coccinea","f","74"
"1154","SPD-01","Virola sebifera","b","15"
"1155","PAN-02","Chrysophyllum manaosense","d","18"
"1156","SPD-01","Psychotria indet","e","14"
"1157","PAN-02","Sloanea obtusifolia","d","38"
"1158","SPD-02","Dendropanax weberbaueri","d","11"
"1159","PAN-02","Tachigali poeppigiana","d","35"
"1160","SPD-01","Clethra revoluta","d","31"
"1161","SPD-01","Meliosma boliviensis","c","5"
"1162","SPD-01","Ilex nervosa","c","15"
"1163","PAN-02","Machaerium duckeanum","e","10"
"1164","PAN-02","Faramea torquata","b","18"
"1165","PAN-02","Guatteria duodecima","d","35"
"1166","SPD-02","Urera caracasana","e","40"
"1167","PAN-02","Sloanea meianthera","b","14"
"1168","TAM-06","Clarisia biflora","d","6"
"1169","PAN-02","Annona ambotay","f","35"
"1170","PAN-02","Protium spruceanum","d","12"
"1171","SPD-02","Gordonia fruticosa","b","24"
"1172","SPD-02","Faramea bangii","d","18"
"1173","TAM-06","Casearia ulmifolia","h","24"
"1174","PAN-02","Alchornea brittonii","d","69"
"1175","SPD-02","Pouteria torta","b","32"
"1176","SPD-01","Ladenbergia indet","e","14"
"1177","SPD-02","Hedyosmum cuatrecazanum","b","11"
"1178","SPD-02","Cestrum indet","h","5"
"1179","PAN-02","Licania indet","d","16"
"1180","TAM-05","Ampelocera edentula","i","19"
"1181","PAN-02","Pouteria krukovii","d","32"
"1182","SPD-01","Myrcia aliena","h","2"
"1183","SPD-02","Chomelia tenuiflora","e","12"
"1184","PAN-02","Pachira trinitensis","f","23"
"1185","SPD-02","Citronella incarum",NA,"0"
"1186","PAN-02","Couepia obovata","f","34"
"1187","PAN-02","Inga nobilis","c","10"
"1188","PAN-02","Eugenia florida","h","30"
"1189","PAN-02","Sloanea terniflora","d","38"
"1190","ESP-01","Prunus debilis","b","15"
"1191","PAN-03","Sloanea rufa","c","38"
"1192","SPD-01","Myrcia paivae","h","2"
"1193","TAM-06","Inga marginata","d","18"
"1194","PAN-03","Talisia cerasina","i","36"
"1195","PAN-02","Toulicia reticulata","i","36"
"1196","PAN-02","Zapoteca amazonica","e","10"
"1197","PAN-02","Eschweilera albiflora","d","8"
"1198","PAN-02","Simaba paraensis","i","11"
"1199","SPD-02","Eugenia florida","h","30"
"1200","PAN-02","Pourouma indet","c","26"
"1201","PAN-02","Inga densiflora","c","10"
"1202","SPD-02","Laetia procera","i","48"
"1203","PAN-02","Socratea exorrhiza","i","26"
"1204","WAY-01","Oreopanax microflorous","b","20"
"1205","SPD-01","Saurauia glabra","h","1"
"1206","SPD-02","Rollinia andicola","e","18"
"1207","PAN-02","Diplotropis martiusii","e","10"
"1208","PAN-02","Virola peruviana","d","15"
"1209","SPD-02","Solanum indet","h","12"
"1210","PAN-02","Triplaris americana","i","51"
"1211","PAN-02","Sloanea brevipes","d","38"
"1212","PAN-02","Miconia lourteigiana","d","85"
"1213","TAM-06","Trichilia pleeana","f","9"
"1214","TRU-04","Hieronyma indet","d","12"
"1215","SPD-01","Viburnum ayavacense","h","25"
"1216","SPD-02","Allophylus punctatus","h","2"
"1217","TAM-06","Rollinia indet","f","35"
"1218","TAM-06","Triplaris setosa","i","51"
"1219","PAN-02","Cedrela odorata","f","9"
"1220","SPD-01","Hedyosmum translucidum","b","18"
"1221","PAN-02","Neea divaricata","i","1"
"1222","TAM-06","Chrysophyllum pomiferum","d","18"
"1223","PAN-02","Cordia ucayaliensis","h","16"
"1224","SPD-01","Clethra obovata","d","31"
"1225","SPD-01","Hieronyma duquei","d","12"
"1226","WAY-01","Erythroxylum deciduum","h","5"
"1227","PAN-02","Qualea amoena","d","9"
"1228","TAM-06","Hasseltia floribunda","i","48"
"1229","SPD-01","Caryocar glabrum","c","6"
"1230","PAN-02","Pouteria eugeniifolia","d","32"
"1231","PAN-02","Ladenbergia oblongifolia","f","74"
"1232","WAY-01","Baccharis brachylaenoides","e","2"
"1233","TAM-05","Quararibea indet","e","12"
"1234","PAN-03","Leonia glycycarpa","b","7"
"1235","TAM-05","Inga auristellae","d","18"
"1236","PAN-02","Richeria indet","f","12"
"1237","ACJ-01","Oreopanax indet","d","20"
"1238","PAN-02","Mollinedia killipii","d","18"
"1239","PAN-02","Matisia malacocalyx","f","23"
"1240","SPD-01","Sapium glandulosum","d","10"
"1241","PAN-02","Protium plagiocarpium","d","12"
"1242","PAN-02","Sloanea rufa","d","38"
"1243","PAN-02","Guatteria guentheri","d","35"
"1244","PAN-03","Coussarea hirticalyx","e","27"
"1245","SPD-01","Cecropia membranacea","c","1"
"1246","TAM-05","Miconia bubalina","d","85"
"1247","PAN-02","Aparisthmium cordatum","e","29"
"1248","ESP-01","Cyathea delgadii","b","15"
"1249","TAM-05","Quiina florida","e","17"
"1250","PAN-02","Siparuna decipiens","h","2"
"1251","SPD-01","Clusia flaviflora","b","12"
"1252","TAM-05","Sloanea fragrans","d","38"
"1253","PAN-02","Sloanea pubescens","d","38"
"1254","PAN-02","Glycydendron amazonicum","e","29"
